"","wsj.Coupon","maturity","wsj.Asked"
"1",0.625,0.25,100.0234
"2",4.625,0.25,100.125
"3",0.5,0.322222222222222,100.0234
"4",0.875,0.322222222222222,100.0469
"5",3,0.322222222222222,100.1719
"6",0.75,0.405555555555556,100.0469
"7",0.5,0.494444444444444,100.0156
"8",1,0.494444444444444,100.0859
"9",3.25,0.494444444444444,100.4063
"10",0.875,0.577777777777778,100.0703
"11",0.5,0.661111111111111,100
"12",0.875,0.661111111111111,100.0938
"13",3.125,0.661111111111111,100.6016
"14",0.875,0.744444444444444,100.1172
"15",4.5,0.744444444444444,101.0859
"16",8.75,0.744444444444444,102.2188
"17",0.625,0.833333333333333,100.0469
"18",2.75,0.833333333333333,100.7188
"19",0.875,0.916666666666667,100.1406
"20",0.625,1,100.0469
"21",0.75,1,100.0938
"22",2.5,1,100.7734
"23",0.875,1.08333333333333,100.1406
"24",0.5,1.17222222222222,99.9453
"25",0.625,1.17222222222222,100.0156
"26",2.375,1.17222222222222,100.8516
"27",4.75,1.25555555555556,102.1563
"28",8.875,1.25555555555556,104.2813
"29",0.625,1.34444444444444,100
"30",1.875,1.34444444444444,100.7031
"31",1,1.42777777777778,100.1953
"32",0.625,1.51111111111111,99.9531
"33",1.875,1.51111111111111,100.7656
"34",0.875,1.59444444444444,100.0938
"35",0.75,1.68333333333333,100
"36",1.875,1.68333333333333,100.8125
"37",0.875,1.76666666666667,100.1094
"38",4.25,1.76666666666667,102.6875
"39",0.625,1.85,99.8828
"40",0.875,1.85,100.0938
"41",2.25,1.85,101.1953
"42",1,1.93333333333333,100.1875
"43",0.75,2.02222222222222,99.9297
"44",1,2.02222222222222,100.1641
"45",2.75,2.02222222222222,101.7188
"46",0.875,2.10555555555556,100.0313
"47",0.75,2.19444444444444,99.9063
"48",0.875,2.19444444444444,100.0234
"49",2.625,2.19444444444444,101.7109
"50",1,2.27777777777778,100.1328
"51",3.5,2.27777777777778,102.6563
"52",0.75,2.35,99.8594
"53",2.75,2.35,101.9375
"54",1,2.43333333333333,100.125
"55",0.75,2.52222222222222,99.8047
"56",0.875,2.52222222222222,99.9531
"57",2.875,2.52222222222222,102.2422
"58",0.75,2.60555555555556,99.7813
"59",0.625,2.68888888888889,99.6016
"60",0.75,2.68888888888889,99.7734
"61",2.625,2.68888888888889,102.0156
"62",1,2.77222222222222,100.0391
"63",3.875,2.77222222222222,103.6953
"64",9.125,2.77222222222222,110.2656
"65",0.875,2.86111111111111,99.875
"66",1,2.86111111111111,100.0234
"67",2.375,2.86111111111111,101.8203
"68",1.125,2.94444444444444,100.1875
"69",0.625,3.02777777777778,99.5
"70",1.375,3.02777777777778,100.5469
"71",2.375,3.02777777777778,101.8984
"72",0.875,3.11111111111111,99.8281
"73",0.75,3.2,99.6172
"74",1.375,3.2,100.5234
"75",2.25,3.2,101.7969
"76",1,3.28333333333333,99.9688
"77",4,3.28333333333333,104.5313
"78",0.75,3.37222222222222,99.5234
"79",1.5,3.37222222222222,100.6641
"80",1,3.45555555555556,99.875
"81",0.75,3.53888888888889,99.4297
"82",1.375,3.53888888888889,100.4375
"83",0.875,3.62222222222222,99.6016
"84",0.75,3.71111111111111,99.3438
"85",1.25,3.71111111111111,100.2109
"86",1.75,3.71111111111111,101.0938
"87",1.25,3.79444444444444,100.2109
"88",3.75,3.79444444444444,104.5859
"89",9,3.79444444444444,113.9609
"90",1,3.87777777777778,99.7188
"91",1.25,3.87777777777778,100.1563
"92",1.375,3.87777777777778,100.3828
"93",1.25,3.96111111111111,100.1641
"94",1.25,4.05,100.1641
"95",1.375,4.05,100.3516
"96",1.5,4.05,100.6172
"97",1.125,4.13333333333333,99.8906
"98",1.125,4.22222222222222,99.875
"99",1.25,4.22222222222222,100.0625
"100",1.5,4.22222222222222,100.6172
"101",0.75,4.30555555555556,99.0703
"102",2.75,4.30555555555556,103.0078
"103",8.875,4.30555555555556,115.5
"104",1.375,4.37777777777778,100.2578
"105",1.5,4.37777777777778,100.5313
"106",1,4.46111111111111,99.4766
"107",1.5,4.55,100.4766
"108",1.625,4.55,100.7734
"109",0.875,4.63333333333333,99.0938
"110",1.25,4.71666666666667,99.8672
"111",1.625,4.71666666666667,100.7031
"112",0.875,4.8,99.0234
"113",3.125,4.8,104.0313
"114",1.125,4.88888888888889,99.5625
"115",1.5,4.88888888888889,100.4219
"116",0.875,4.97222222222222,98.9219
"117",1,5.05555555555556,99.1797
"118",1.625,5.05555555555556,100.625
"119",0.75,5.13888888888889,98.5469
"120",0.875,5.22777777777778,98.8047
"121",1.625,5.22777777777778,100.6016
"122",0.75,5.31111111111111,98.4609
"123",3.625,5.31111111111111,105.5547
"124",8.125,5.31111111111111,116.7031
"125",1,5.4,99.0234
"126",1.625,5.4,100.5859
"127",0.875,5.48333333333333,98.6563
"128",1,5.56666666666667,98.9453
"129",1.75,5.56666666666667,100.8672
"130",1,5.65,98.9063
"131",1.25,5.73888888888889,99.5625
"132",1.5,5.73888888888889,100.1797
"133",1,5.82222222222222,98.8203
"134",3.375,5.82222222222222,105.3047
"135",1,5.90555555555556,98.7969
"136",1.5,5.90555555555556,100.1328
"137",1.375,5.98888888888889,99.7813
"138",1.125,6.07777777777778,99.0313
"139",1.625,6.07777777777778,100.4375
"140",1.375,6.16111111111111,99.7109
"141",1.25,6.25,99.3047
"142",1.375,6.25,99.6953
"143",3.625,6.33333333333333,106.2578
"144",8.5,6.33333333333333,120.6875
"145",1.25,6.41111111111111,99.2109
"146",1.375,6.41111111111111,99.5469
"147",1.125,6.58333333333333,98.7578
"148",1.375,6.58333333333333,99.4766
"149",1.125,6.75,98.6563
"150",1.375,6.75,99.375
"151",3.5,6.83333333333333,106.0859
"152",8.75,6.83333333333333,122.7813
"153",1.375,6.92222222222222,99.2813
"154",1.5,6.92222222222222,99.6953
"155",1.625,7.08888888888889,100.0313
"156",1.875,7.08888888888889,100.8984
"157",1.625,7.26111111111111,99.9297
"158",2,7.26111111111111,101.2266
"159",2.625,7.34444444444444,103.3203
"160",8.75,7.34444444444444,124.2656
"161",1.375,7.43333333333333,99.0234
"162",2.125,7.43333333333333,101.6172
"163",1.375,7.6,98.9219
"164",2,7.6,101.1641
"165",1.375,7.77222222222222,98.8125
"166",1.75,7.77222222222222,100.2109
"167",2.625,7.85555555555556,103.3281
"168",1.625,7.93888888888889,99.6172
"169",2,7.93888888888889,101
"170",1.75,8.11111111111111,100.0156
